date,rented_bike_count,hour,temperature,humidity,wind_speed,visibility,dew_point_temperature,solar_radiation,rainfall,snowfall,seasons,holiday,functioning_day,time_of_day,weekday,workday,did_it_rain,did_it_snow,month,week,year
2018-03-03,306,8,0.4,0.38,1.8,1564,-12.3,0.16,0,0,Spring,No Holiday,Yes,Morning,Sat,No,No,No,Mar,13,2018
2017-12-07,62,4,1.6,0.92,0.7,119,0.4,0,0,0.9,Winter,No Holiday,Yes,Night,Thu,Yes,No,Yes,Dec,1,2017
2018-05-31,470,2,15.2,0.84,0.7,485,12.5,0,0,0,Spring,No Holiday,Yes,Night,Thu,Yes,No,No,May,26,2018
2018-01-04,290,12,-2.9,0.33,0.9,1813,-16.9,0.92,0,0,Winter,No Holiday,Yes,Afternoon,Thu,Yes,No,No,Jan,5,2018
2018-06-08,2797,19,24.5,0.63,3.1,970,16.9,0.46,0,0,Summer,No Holiday,Yes,Evening,Fri,Yes,No,No,Jun,27,2018
2018-01-13,77,3,-6.5,0.42,0.7,1996,-17.3,0,0,0,Winter,No Holiday,Yes,Night,Sat,No,No,No,Jan,6,2018
2017-12-04,393,12,-0.3,0.38,4.8,1823,-12.9,1.11,0,0,Winter,No Holiday,Yes,Afternoon,Mon,Yes,No,No,Dec,1,2017
2018-06-16,583,7,17,0.6,1.1,1993,9.1,0.47,0,0,Summer,No Holiday,Yes,Morning,Sat,No,No,No,Jun,28,2018
2018-07-10,909,11,23.2,0.82,1.1,1991,19.9,0.47,0,0,Summer,No Holiday,Yes,Morning,Tue,Yes,No,No,Jul,32,2018
2018-07-31,1772,20,33.5,0.5,2.1,2000,21.6,0.04,0,0,Summer,No Holiday,Yes,Evening,Tue,Yes,No,No,Jul,35,2018
2018-02-28,7,15,4.8,0.87,2.9,312,2.8,0.08,4.5,0,Winter,No Holiday,Yes,Afternoon,Wed,Yes,Yes,No,Feb,13,2018
2018-09-23,915,12,20.8,0.52,1.2,1984,10.5,1.25,0,0,Autumn,Holiday,Yes,Afternoon,Sun,No,No,No,Sep,43,2018
2018-02-20,384,9,-1.4,0.56,1.4,709,-9,0.54,0,0,Winter,No Holiday,Yes,Morning,Tue,Yes,No,No,Feb,12,2018
2018-03-27,764,22,12.9,0.75,1.3,326,8.5,0,0,0,Spring,No Holiday,Yes,Evening,Tue,Yes,No,No,Mar,17,2018
2017-12-05,462,9,-7.6,0.31,1.3,1974,-21.8,0.21,0,0,Winter,No Holiday,Yes,Morning,Tue,Yes,No,No,Dec,1,2017
2017-12-26,120,6,-2.8,0.73,0.7,1906,-6.9,0,0,0,Winter,No Holiday,Yes,Morning,Tue,Yes,No,No,Dec,4,2017
2018-03-29,614,23,12.7,0.75,1.6,475,8.3,0,0,0,Spring,No Holiday,Yes,Evening,Thu,Yes,No,No,Mar,17,2018
2018-02-12,45,2,-8.3,0.49,2.7,2000,-17.1,0,0,0,Winter,No Holiday,Yes,Night,Mon,Yes,No,No,Feb,11,2018
2018-04-21,122,5,13,0.7,0.5,385,7.6,0,0,0,Spring,No Holiday,Yes,Night,Sat,No,No,No,Apr,20,2018
2018-05-18,697,14,16.7,0.88,1.5,1760,14.6,0.72,0,0,Spring,No Holiday,Yes,Afternoon,Fri,Yes,No,No,May,24,2018
2018-11-11,758,13,9.8,0.7,1.7,360,4.5,0.33,0,0,Autumn,No Holiday,Yes,Afternoon,Sun,No,No,No,Nov,50,2018
2018-07-04,1005,14,31.3,0.58,3,1479,22,2.46,0,0,Summer,No Holiday,Yes,Afternoon,Wed,Yes,No,No,Jul,31,2018
2018-10-17,600,1,11.5,0.74,1.2,1305,7,0,0,0,Autumn,No Holiday,Yes,Night,Wed,Yes,No,No,Oct,46,2018
2018-01-27,195,16,-3.7,0.25,2.6,1839,-20.9,0.74,0,0,Winter,No Holiday,Yes,Afternoon,Sat,No,No,No,Jan,8,2018
2018-03-21,319,17,2.5,0.78,2,2000,-0.9,0.25,0,0,Spring,No Holiday,Yes,Afternoon,Wed,Yes,No,No,Mar,16,2018
2017-12-19,224,21,-5,0.57,1.9,2000,-12.2,0,0,2,Winter,No Holiday,Yes,Evening,Tue,Yes,No,Yes,Dec,3,2017
2018-08-28,60,16,25,0.97,0.7,1181,24.4,0.17,2.5,0,Summer,No Holiday,Yes,Afternoon,Tue,Yes,Yes,No,Aug,39,2018
2018-10-27,146,5,8,0.65,1.6,2000,1.8,0,0,0,Autumn,No Holiday,Yes,Night,Sat,No,No,No,Oct,47,2018
2018-05-08,956,11,21,0.45,1.6,2000,8.6,2.89,0,0,Spring,No Holiday,Yes,Morning,Tue,Yes,No,No,May,23,2018
2018-10-18,864,10,13.7,0.57,1.2,2000,5.3,1.33,0,0,Autumn,No Holiday,Yes,Morning,Thu,Yes,No,No,Oct,46,2018
2018-08-27,27,4,20.5,0.97,0.1,257,20,0,3.5,0,Summer,No Holiday,Yes,Night,Mon,Yes,Yes,No,Aug,39,2018
2018-02-08,57,3,-8.6,0.64,0.9,1754,-14.1,0,0,0,Winter,No Holiday,Yes,Night,Thu,Yes,No,No,Feb,10,2018
2018-01-10,139,23,-10.2,0.53,3.3,1997,-17.9,0,0,0,Winter,No Holiday,Yes,Evening,Wed,Yes,No,No,Jan,6,2018
2018-01-12,259,17,-6.5,0.22,1.5,2000,-24.7,0.28,0,0,Winter,No Holiday,Yes,Afternoon,Fri,Yes,No,No,Jan,6,2018
2018-01-15,122,1,3,0.62,0.9,835,-3.5,0,0,0,Winter,No Holiday,Yes,Night,Mon,Yes,No,No,Jan,7,2018
2018-10-13,148,5,6.7,0.81,1.1,1467,3.6,0,0,0,Autumn,No Holiday,Yes,Night,Sat,No,No,No,Oct,45,2018
2018-09-26,923,10,19.4,0.47,2.3,2000,7.7,1.45,0,0,Autumn,No Holiday,Yes,Morning,Wed,Yes,No,No,Sep,43,2018
2018-06-28,1239,22,21.6,0.94,1.1,766,20.5,0,0,0,Summer,No Holiday,Yes,Evening,Thu,Yes,No,No,Jun,30,2018
2018-01-13,102,9,-6.3,0.76,0.6,330,-9.8,0.05,0.2,0.4,Winter,No Holiday,Yes,Morning,Sat,No,Yes,Yes,Jan,6,2018
2018-10-10,144,1,16.6,0.57,1.5,2000,8,0,0,0,Autumn,No Holiday,Yes,Night,Wed,Yes,No,No,Oct,45,2018
2018-03-11,533,21,5.7,0.34,1,1520,-8.9,0,0,0,Spring,No Holiday,Yes,Evening,Sun,No,No,No,Mar,15,2018
2018-04-25,1878,17,22.9,0.23,2.8,1985,0.6,1.64,0,0,Spring,No Holiday,Yes,Afternoon,Wed,Yes,No,No,Apr,21,2018
2018-01-06,373,15,2.3,0.27,2.2,1877,-14.8,0.92,0,0,Winter,No Holiday,Yes,Afternoon,Sat,No,No,No,Jan,5,2018
2018-08-14,1097,7,27.9,0.71,0.4,2000,22.1,0.13,0,0,Summer,No Holiday,Yes,Morning,Tue,Yes,No,No,Aug,37,2018
2018-02-03,67,7,-8.8,0.58,4,1942,-15.5,0,0,0.3,Winter,No Holiday,Yes,Morning,Sat,No,No,Yes,Feb,9,2018
2017-12-22,544,8,-0.4,0.69,0.5,904,-5.4,0,0,0.7,Winter,Holiday,Yes,Morning,Fri,Yes,No,Yes,Dec,3,2017
2018-09-05,2312,8,21.2,0.69,1.9,2000,15.2,0.74,0,0,Autumn,No Holiday,Yes,Morning,Wed,Yes,No,No,Sep,40,2018
2018-09-15,906,0,21.8,0.83,1.5,2000,18.7,0,0,0,Autumn,No Holiday,Yes,Night,Sat,No,No,No,Sep,41,2018
2018-09-08,1554,14,26.8,0.31,2.8,2000,8.2,2.96,0,0,Autumn,No Holiday,Yes,Afternoon,Sat,No,No,No,Sep,40,2018
2018-09-17,337,1,20.5,0.73,1.9,1693,15.4,0,0,0,Autumn,No Holiday,Yes,Night,Mon,Yes,No,No,Sep,42,2018
2018-07-13,1291,16,30,0.67,2,1698,23.1,1.46,0,0,Summer,No Holiday,Yes,Afternoon,Fri,Yes,No,No,Jul,32,2018
2018-05-01,1400,22,19.9,0.75,0.8,516,15.3,0,0,0,Spring,Holiday,Yes,Evening,Tue,Yes,No,No,May,22,2018
2018-11-29,1635,8,0.8,0.44,1.7,1439,-10,0.02,0,0,Autumn,No Holiday,Yes,Morning,Thu,Yes,No,No,Nov,52,2018
2018-11-15,610,0,7.7,0.67,0.4,1102,1.9,0,0,0,Autumn,No Holiday,Yes,Night,Thu,Yes,No,No,Nov,50,2018
2017-12-02,385,19,5,0.52,2.3,1666,-4,0,0,0,Winter,No Holiday,Yes,Evening,Sat,No,No,No,Dec,0,2017
2018-09-05,249,5,19.7,0.82,0.5,2000,16.5,0,0,0,Autumn,No Holiday,Yes,Night,Wed,Yes,No,No,Sep,40,2018
2018-05-09,1324,15,21.2,0.35,2.9,1733,5.1,2.88,0,0,Spring,No Holiday,Yes,Afternoon,Wed,Yes,No,No,May,23,2018
2018-10-16,1113,14,19.9,0.29,1.9,1833,1.3,2.09,0,0,Autumn,No Holiday,Yes,Afternoon,Tue,Yes,No,No,Oct,46,2018
2018-11-01,1206,16,14.7,0.32,2,1934,-1.8,1.13,0,0,Autumn,No Holiday,Yes,Afternoon,Thu,Yes,No,No,Nov,48,2018
